company_name,building_name,raw_address,phone,amenities,floorplans
HSL Properties,Encantada Queen Creek,"20934 East Ocotillo Road, Queen Creek, AZ 85142, United States",(480) 613-8645,"24-Hour Emergency Maintenance, 24-Hour Fitness Center, BBQ, Business Center, Ceiling Fans, Clubhouse, Conference Room, Controlled Access, Courtesy Patrol, Covered Parking, Enclosed Patios/Balconies, Fireplace, Free Wi-Fi, Fully-Gated Community, Furnished Apartments, Garage, Guest Parking Available, Luxury, Movie Theater, Outdoor Fireplace, Pet Friendly, Playground, Pool, Spa, Starbucks Coffee or Coffee Bar, Storage Available, Walk-In Closets, Washer and Dryer","1 bedroom, 2 bedrooms, 3 bedrooms"
HSL Properties,Encantada Steam Pump,"11177 North Oracle Road, Oro Valley, AZ 85737, United States",(520) 277-2363,"24-Hour Emergency Maintenance, 24-Hour Fitness Center, BBQ, Cabanas, Ceiling Fans, Clubhouse, Conference Room, Controlled Access, Courtesy Patrol, Courtyard, Covered Parking, Dog Park, Enclosed Patios/Balconies, Free Bike Rental, Free Wi-Fi, Fully-Gated Community, Furnished Apartments, Guest Parking Available, Luxury, Movie Theater, Outdoor Fireplace, Pet Friendly, Picnic Area, Playground, Pool, Social Lounge, Spa, Starbucks Coffee or Coffee Bar, Storage Available, Walk-In Closets, Washer and Dryer","1 bedroom, 2 bedrooms, 3 bedrooms"
HSL Properties,Encantada Tucson National,"8323 N. Shannon Road, Tucson, AZ 85742, United States",(520) 523-4353,"24-Hour Emergency Maintenance, 24-Hour Fitness Center, BBQ, Cabanas, Ceiling Fans, Clubhouse, Controlled Access, Courtesy Patrol, Courtyard, Covered Parking, Dog Park, Enclosed Patios/Balconies, Fitness Center, Free Bike Rental, Free Wi-Fi, Fully-Gated Community, Garage, Guest Parking Available, Luxury, Movie Theater, Outdoor Fireplace, Pet Friendly, Playground, Pool, Social Lounge, Spa, Starbucks Coffee or Coffee Bar, Storage Available, Walk-In Closets, Washer and Dryer","1 bedroom, 2 bedrooms, 3 bedrooms, Loft"
HSL Properties,Enclave at the Foothills,"7300 N Mona Lisa Rd, Tucson, AZ 85741, United States",(520) 779-3372,"24-Hour Emergency Maintenance, BBQ, Business Center, Ceiling Fans, Clubhouse, Courtesy Patrol, Courtyard, Covered Parking, Enclosed Patios/Balconies, Fireplace, Fitness Center, Guest Parking Available, Pet Friendly, Picnic Area, Playground, Pool, Spa, Storage Available, Walk-In Closets, Washer and Dryer","1 bedroom, 2 bedrooms, 3 bedrooms"
HSL Properties,Estancia,"2500 North Desert Links Drive Tucson, AZ 85715, United States",(520) 412-7938,"24-Hour Emergency Maintenance, 24-Hour Fitness Center, BBQ, Ceiling Fans, Clubhouse, Controlled Access, Courtesy Patrol, Courtyard, Covered Parking, Enclosed Patios/Balconies, Fireplace, Free Wi-Fi, Fully-Gated Community, Laundry Facility, Pet Friendly, Pool, Spa, Storage Available, Walk-In Closets, Washer and Dryer","1 bedroom, 2 bedrooms, 3 bedrooms"
HSL Properties,Foothills,"5441 North Swan Road Tucson, AZ 85718, United States",(520) 657-2949,"24-Hour Emergency Maintenance, 24-Hour Fitness Center, BBQ, Ceiling Fans, Clubhouse, Controlled Access, Courtesy Patrol, Courtyard, Covered Parking, Dog Park, Enclosed Patios/Balconies, Free Wi-Fi, Furnished Apartments, Guest Parking Available, Laundry Facility, Luxury, Movie Theater, Pet Friendly, Picnic Area, Pool, Spa, Storage Available","1 bedroom, 2 bedrooms"
HSL Properties,La Reserve Villas,"10700 North La Reserve Drive, Oro Valley, AZ 85737, United States",(520) 470-6821,"24-Hour Emergency Maintenance, 24-Hour Fitness Center, BBQ, Ceiling Fans, Clubhouse, Courtyard, Covered Parking, Enclosed Patios/Balconies, Fireplace, Free Wi-Fi, Furnished Apartments, Guest Parking Available, Pet Friendly, Pool, Spa, Storage Available, Walk-In Closets, Washer and Dryer","1 bedroom, 2 bedrooms"
HSL Properties,Ridgepointe Apartments,"6001 East Pima Tucson, AZ 85712, United States",(520) 356-4363,"24-Hour Emergency Maintenance, 24-Hour Fitness Center, BBQ, Ceiling Fans, Courtesy Patrol, Covered Parking, Fireplace, Free Wi-Fi, Furnished Apartments, Guest Parking Available, Laundry Facility, Pet Friendly, Picnic Area, Pool, Spa, Starbucks Coffee or Coffee Bar, Storage Available, Walk-In Closets, Washer and Dryer","1 bedroom, 2 bedrooms"
HSL Properties,Rio Vista,"2000 East River Road, Tucson, AZ 85718, United States",(520) 502-6061,"24-Hour Emergency Maintenance, 24-Hour Fitness Center, BBQ, Business Center, Ceiling Fans, Clubhouse, Courtesy Patrol, Courtyard, Covered Parking, Enclosed Patios/Balconies, Free Wi-Fi, Furnished Apartments, Guest Parking Available, Laundry Facility, Pet Friendly, Picnic Area, Pool, Storage Available, Walk-In Closets","1 bedroom, 2 bedrooms"
HSL Properties,Riverstone,"6161 East Grant Road, Tucson, AZ 85712, United States",(520) 412-9746,"24-Hour Emergency Maintenance, Basketball Court, BBQ, Ceiling Fans, Clubhouse, Courtesy Patrol, Courtyard, Covered Parking, Dog Park, Enclosed Patios/Balconies, Free Gym Passes, Free Wi-Fi, Furnished Apartments, Game Room, Guest Parking Available, Laundry Facility, Pet Friendly, Picnic Area, Pool, Sand Volleyball Court, Spa, Tennis Court","1 bedroom, 2 bedrooms"
HSL Properties,Skyline Gateway,"4601 East Skyline Drive, Tucson, AZ 85718, United States",(520) 502-7673,"24-Hour Emergency Maintenance, BBQ, Ceiling Fans, Clubhouse, Courtesy Patrol, Courtyard, Covered Parking, Dog Park, Fitness Center, Free Wi-Fi, Fully-Gated Community, Furnished Apartments, Guest Parking Available, Laundry Facility, Pet Friendly, Picnic Area, Pool, Spa, Storage Available, Walk-In Closets, Washer and Dryer","1 bedroom, 2 bedrooms"
HSL Properties,Somerpointe,"7351 East Speedway, Tucson, AZ 85710, United States",(520) 251-9337,"24-Hour Emergency Maintenance, 24-Hour Fitness Center, BBQ, Ceiling Fans, Clubhouse, Courtesy Patrol, Courtyard, Covered Parking, Enclosed Patios/Balconies, Free Wi-Fi, Furnished Apartments, Guest Parking Available, Laundry Facility, Pet Friendly, Picnic Area, Pool, Sand Volleyball Court, Spa, Storage Available, Walk-In Closets","1 bedroom, 2 bedrooms"
HSL Properties,Springhill,"8030 E Lakeside Pkwy, Tucson, AZ 85730, United States",(520) 346-7868,"24-Hour Fitness Center, BBQ, Ceiling Fans, Covered Parking, Enclosed Patios/Balconies, Fitness Center, Pet Friendly, Pool, Spa, Storage Available, Washer and Dryer","1 bedroom, 2 bedrooms"
HSL Properties,Sycamore Creek,"1701 North Wilmot Road, Tucson, AZ 85712, United States",(520) 636-7874,"24-Hour Emergency Maintenance, 24-Hour Fitness Center, BBQ, Business Center, Ceiling Fans, Clubhouse, Courtesy Patrol, Courtyard, Covered Parking, Enclosed Patios/Balconies, Free Gym Passes, Free Wi-Fi, Guest Parking Available, Laundry Facility, Pet Friendly, Picnic Area, Pool, Spa, Storage Available, Walk-In Closets","1 bedroom, 2 bedrooms, Studio"
HSL Properties,Tanglewood,"5050 East 5th Street, Tucson, AZ 85711, United States",(520) 783-7690,"24-Hour Emergency Maintenance, Basketball Court, BBQ, Ceiling Fans, Clubhouse, Courtesy Patrol, Courtyard, Enclosed Patios/Balconies, Laundry Facility, Movie Theater, Pet Friendly, Picnic Area, Playground, Pool, Social Lounge, Spa, Storage Available, Walk-In Closets","1 bedroom, 2 bedrooms"
HSL Properties,The Springs,"4900 East 5th Street, Tucson, AZ 85711, United States",(520) 619-7914,"24-Hour Emergency Maintenance, BBQ, Cabanas, Ceiling Fans, Clubhouse, Courtesy Patrol, Courtyard, Covered Parking, Enclosed Patios/Balconies, Fitness Center, Free Wi-Fi, Guest Parking Available, Laundry Facility, Picnic Area, Playground, Spa, Walk-In Closets","1 bedroom, 2 bedrooms, Studio"
HSL Properties,Villas at Montebella,"1777 West Orange Grove Road, Tucson, AZ 85704, United States",(520) 464-9693,"24-Hour Emergency Maintenance, 24-Hour Fitness Center, Basketball Court, BBQ, Ceiling Fans, Clubhouse, Courtesy Patrol, Courtyard, Covered Parking, Enclosed Patios/Balconies, Fireplace, Free Wi-Fi, Furnished Apartments, Garage, Guest Parking Available, Pet Friendly, Picnic Area, Playground, Pool, Spa, Storage Available, Walk-In Closets, Washer and Dryer","1 bedroom, 2 bedrooms, 3 bedrooms"
HSL Properties,The Flin,110 South Church Ave.,(520) 729-9742,"24-Hour Emergency Maintenance, 24-Hour Fitness Center, 24-Hour Front Desk, BBQ, Ceiling Fans, Clubhouse, Conference Room, Controlled Access, Courtyard, Dog Park, Elevators, Enclosed Patios/Balconies, Fitness Center, Free Bike Rental, Free Wi-Fi, Fully-Gated Community, Luxury, Movie Theater, Outdoor Fireplace, Parking Garage, Pet Friendly, Social Lounge, Spa, Trash Pick-up Service, Walk-In Closets, Washer and Dryer","1 bedroom, 2 bedrooms, 3 bedrooms, Loft, Studio"
HSL Properties,Encantada Twin Peaks,"6355 W. Marana Center Blvd, Marana, AZ 85742",(520) 214-6491,,"1 bedroom, 2 bedrooms, 3 bedrooms"
HSL Properties,Encantada Saguaro National,"5750 S. Houghton Rd., Tucson, AZ 85747",(520) 666-8625,"24-Hour Emergency Maintenance, 24-Hour Fitness Center, BBQ, Cabanas, Ceiling Fans, Clubhouse, Conference Room, Controlled Access, Courtesy Patrol, Covered Parking, Dog Park, Enclosed Patios/Balconies, Fitness Center, Free Bike Rental, Free Wi-Fi, Fully-Gated Community, Guest Parking Available, Luxury, Movie Theater, Outdoor Fireplace, Pet Friendly, Pool, Social Lounge, Spa, Starbucks Coffee or Coffee Bar, Storage Available, Walk-In Closets, Washer and Dryer","1 bedroom, 2 bedrooms, 3 bedrooms"
HSL Properties,Encantada Rita Ranch,"9300 E. Valencia Road, Tucson, AZ 85747",(520) 650-5114,"24-Hour Emergency Maintenance, 24-Hour Fitness Center, BBQ, Cabanas, Ceiling Fans, Clubhouse, Conference Room, Controlled Access, Courtesy Patrol, Covered Parking, Dog Park, Enclosed Patios/Balconies, Free Bike Rental, Free Wi-Fi, Fully-Gated Community, Guest Parking Available, Luxury, Movie Theater, Outdoor Fireplace, Pet Friendly, Playground, Pool, Social Lounge, Spa, Starbucks Coffee or Coffee Bar, Storage Available, Walk-In Closets, Washer and Dryer","1 bedroom, 2 bedrooms, 3 bedrooms"
HSL Properties,Encantada La Estancia,"7355 S Wilmot Rd. Tucson, AZ 85756",(520) 346-3842,,"1 bedroom, 2 bedrooms, 3 bedrooms"
HSL Properties,Encantada Continental Reserve,"6101 Arizona Pavilions Drive, Tucson, AZ 85743, USA",(520) 727-5913,"24-Hour Emergency Maintenance, 24-Hour Fitness Center, BBQ, Cabanas, Ceiling Fans, Clubhouse, Conference Room, Controlled Access, Courtesy Patrol, Covered Parking, Dog Park, Enclosed Patios/Balconies, Fitness Center, Free Bike Rental, Free Wi-Fi, Fully-Gated Community, Guest Parking Available, Luxury, Movie Theater, Outdoor Fireplace, Pet Friendly, Playground, Pool, Social Lounge, Spa, Starbucks Coffee or Coffee Bar, Storage Available, Walk-In Closets, Washer and Dryer","1 bedroom, 2 bedrooms, 3 bedrooms"
